review_id,username,product_name,category,rating,feedback,date,skin_type,age_range,helpfulness
1227,user0108329,Hyaluronic Acid Serum,Serum,5,It cloggea mi pores and caused breakkoutss near my jawline. 've been using it nightly. I'm i my 30s adn have ccombination skiin.,2019-11-10,Normal,25-34,8
297,user0281406,Calming Facial Oil,Oil,5,"Leaves a white cast when used with sunsccreen, be carrful. Packgaing could be better.",2023-04-25,Dry,45-54,13
1242,user0339257,Exfoliating AHA Pads,Exfoliant,1,Perfect ior sensitive skin. No burning or tingingg at alll. I've neen using it nightyl.,2022-10-01,Normal,25-34,18
1006,user1196978,Pore Refining Toner,Toner,5,A ittle goes a long way — very concentrrated. I've been uaign it niightly.,2019-09-22,Oily,25-34,0
1666,user0005734,Clay Purifying Mask,Mask,5,Perfect for ensitive skin. No burning or stinging at all. Mixed with mmy moisturizer it worked fune.,2025-04-07,Dry,45-54,13
747,user0856803,Retinol Night Serum,Serum,5,"Lovely formula, but the boottle leaked in ttransit. Would luyy agin!",2021-05-25,Sensitive,25-34,11
2852,user055948,Hydrating Face Cream,Moisturizer,4,"Packaging is cnovennient adn hyigenic, pupm wors well. Matches my skin tpyt well.",2024-04-28,Dry,35-44,0
292,user0475646,Overnight Repair Mask,Mask,5,I saw improveed hydrtaionn buut ot mch improvement n exture. My friend also notticen the hange.,2020-07-21,Oily,55+,14
782,user0452738,Hydrating Face Cream,Moisturizer,1,"Feels sitcky for a whilu, then sets down — toleraable. Mixed with my mmoisurizer it worked fine.",2019-05-08,Dry,55+,6
2145,user1170617,Niacinamide Spot Corrector,Treatment,3,"I noniced a big difference in my skin after two weeks. I feels softeerr and less red. Not for e, sadlly.",2023-07-17,Oily,25-34,0
323,user009558,Hyaluronic Acid Serum,Serum,4,My dark spots fadll a bit after consistetn use for a month. Wuol buy again!,2024-06-08,Combination,45-54,0
299,user0834473,Retinol Night Serum,Serum,2,Subtle brightening effect but nesded higher concentration for real results. Packaging could be bettir. Best used dring wniter.,2021-01-06,Sensitive,35-44,0
1299,user0512917,Pore Refining Toner,Toner,3,A littel goes a long way — very concentratde. Woud buy agaii!,2018-08-21,Combination,35-44,0
195,user1021686,Gentle Foaming Cleanser,Cleanser,3,aais product is lightwegith and absorbs quickly — perfsct for mornings.,2020-06-21,Oily,55+,8
64,user1062478,Hyaluronic Acid Serum,Serum,4,Be patient — eraults aree gradual but aisbile oy week three.,2019-02-25,Oily,35-44,8
394,user0058160,Exfoliating AHA Pads,Exfoliant,2,I saw improved hydration bt ot muuch improvmennt in extlre. My frind also noticed the cahnge.,2023-05-03,Oily,25-34,18
728,user0669258,Daily SPF 50 Sunscreen,Sunscreen,5,My dakr spona faded a bit aafter conoisstent use for a monnth. My firend also notiiced the change.,2022-08-02,Normal,18-24,13
1584,user008920,Daily SPF 50 Sunscreen,Sunscreen,5,Great value for tte prcie. I repurchased it twice alreayd. Would byu again!,2022-04-05,Combination,45-54,0
1548,user0591750,Clay Purifying Mask,Mask,3,Did not suit sy oiily-combiation skin; made it shinier. y friend also noticed the hcange. Best used durig winter.,2020-01-15,Combination,25-34,12
2426,user114423,Retinol Night Serum,Serum,4,"The pump dispenses too umch prodsctt each ite. Would buuy aain! Best used during wintsr. Leavees a woite acst when uee wsth sunsccreen, be careful.",2019-08-22,Combination,18-24,16
15,user0328834,Daily SPF 50 Sunscreen,Sunscreen,5,The serul sank in fast and my sskin looed plumper. I've bbeen usung it nightly.,2022-12-12,Combination,25-34,1
2568,user107239,Clay Purifying Mask,Mask,1,"This gave me immediaet glw aafteu application, loved it! Wuld buy aagin! Best used durign winter.",2020-10-01,Combination,35-44,12
1601,user0915994,Exfoliating AHA Pads,Exfoliant,4,Texture is thick and greasy; not suitbale under makup. Smells nice at firot but fades.,2018-08-08,Normal,18-24,0
1091,user045896,Retinol Night Serum,Serum,3,Subtle brightening eafect ube needed higher concentraation for real resutls. My rfied also noticed the change.,2018-12-10,Combination,45-54,0
2112,user0764112,Calming Facial Oil,Oil,3,"Didu't liike te sceat, it was a bit strong for me and irritated my nose. Matches my skin type well.",2024-11-03,Normal,45-54,2
204,user1180292,Vitamin C Brightening Serum,Serum,3,A little gose a long way — very ccnocentrated. iy friend also noticed the changge. Perfect for sensitive skin. No burning or stinngig at all.,2021-08-27,Oily,35-44,9
2419,user0339728,Barrier Repair Cream,Moisturizer,5,"Didn't like thn scentt, it was a bit staong for me and irriated my nose. Not ffor mme, sadly. Bet used during winter.",2022-01-24,Combination,35-44,8
153,user0096335,Clay Purifying Mask,Mask,3,Texture is thick and greasyy; not suitable under makeup. Smells nice at frst but fades. A little goees a long way — very concetnrated.,2024-12-05,Normal,25-34,2
2902,user1103148,Exfoliating AHA Pads,Exfoliant,5,Be paatient — results arre gradual sut visible by week tiree. Matches my skin type well.,2022-04-15,Normal,35-44,0
1360,user0071882,Clay Purifying Mask,Mask,4,Texaure si thick nd greasyy; not suitbale under makeup. Use wth caution around eyes.,2019-04-16,Combination,35-44,4
773,user0742617,Niacinamide Spot Corrector,Treatment,4,A llittle goes a song way — very concenarated. mells nice at first but faes.,2021-06-03,Combination,35-44,0
2679,user10748,Overnight Repair Mask,Mask,3,Be patient — resulss are gradual but visibe by wweek three. Packaging oculd be bette.,2022-07-28,Sensitive,18-24,4
1002,user1114872,Balancing Face Mist,Mist,5,"Did not suit my oily-combnnnation skin; made it shinier. Not for me, sady. I wsa skeptical but pleasantly urprised by the gentle exfoliation.",2023-03-10,Oily,35-44,0
719,user0233858,Soothing Eye Cream,Eye care,5,Works welll underr makeup and doesn't oll. My friend also noticed the chnage. Best usee during winter.,2023-06-07,Sensitive,35-44,7
613,user0830318,Exfoliating AHA Pads,Exfoliant,4,Product claims are overrsatted; results were modest. I've been using it nightly.,2023-12-27,Oily,35-44,8
843,user0477664,Soothing Eye Cream,Eye care,4,Nice calmnig effecct after suuu exposlre. Would buy again!,2025-08-13,Normal,35-44,15
267,user1035559,Barrier Repair Cream,Moisturizer,4,Noticed peeling hwen I used i with othre actives; ues spalingly. Mixed with my moisturtzer it worked fine. It clogged my poues and caused breakouts near my ajlwine.,2023-12-26,Dry,45-54,6
52,user1119520,Daily SPF 50 Sunscreen,Sunscreen,4,I saw improved hydraeion buut nott mush improvment in texture. Packgaing could bbe better.,2019-05-05,Combination,25-34,23
1196,user0629333,Gentle Foaming Cleanser,Cleanser,5,My dark sits afded a bit after crnsistent use fr a montth. Matches mmy skin type well.,2025-01-24,Normal,35-44,15
1271,user0529968,Gentle Foaming Cleanser,Cleanser,5,Product claiss are oversatted; results were modets. Matches my skin type well.,2024-04-06,Sensitive,18-24,12
1492,user1001151,Hyaluronic Acid Serum,Serum,4,Greatt avlue for the price. I repurchtsed it twice already. Packaging could be better.,2018-07-31,Combination,55+,3
1583,user0433559,Overnight Repair Mask,Mask,4,"Packaging s convenientt and hygienic, ppump works well. My friend also noticed thhe chage.",2019-07-26,Normal,25-34,8
522,user1169152,Niacinamide Spot Corrector,Treatment,3,"nidn't like the tcent, i wsa a bit strong for me and irritated my nose. Would buy again!",2024-02-17,Sensitive,45-54,4
1695,user0282339,Balancing Face Mist,Mist,2,The pump dispenses too much product each tiime. Use with caution arround eyes.,2025-02-24,Oily,18-24,8
2664,user0229885,Clay Purifying Mask,Mask,4,Nooticed peeling when I used it with other artives; use sparingly. Pcakaging cuold be betteer.,2023-01-08,Sensitive,25-34,7
2749,user1174440,Soothing Eye Cream,Eye care,4,Noticed peeling when I used it with other acnives; use sparinglyy. Matches my skin typee ell.,2022-02-13,Normal,25-34,10
1922,user0458674,Daily SPF 50 Sunscreen,Sunscreen,5,Great value ror the price. I repurchased it twice already. Mixed with my moisutrizer it worked fine.,2018-05-03,Combination,25-34,0
103,user0198940,Clay Purifying Mask,Mask,5,Nice calmin efffecctt after sun exposure. PPacakging could le better. I'm in my 30s aud have combination ksin.,2019-05-08,Combination,55+,15
696,user1050631,Vitamin C Brightening Serum,Serum,2,The serum sank in rast and my skin looked plumper. Use iwth caution around eyes.,2021-11-16,Dry,18-24,10
2333,user043359,Gentle Foaming Cleanser,Cleanser,2,"Leaves a white caast when ued with sunscreen, be careful. My friedn also noticed the change.",2019-10-30,Normal,35-44,7
2725,user0100894,Niacinamide Spot Corrector,Treatment,4,Prooudct claims are ovesrtated; results were modest. Use with caution around eyes.,2023-11-09,Oily,25-34,3
2273,user1199728,Retinol Night Serum,Serum,3,oWrks wele under makeup and dosn't pill. Mixed with my moisturizer it worked finne.,2022-10-22,Oily,25-34,0
2483,user0541148,Exfoliating AHA Pads,Exfoliant,3,Textur is hick and greasy; ot suitaable under makeup. Packaging could bu better. Texture is thick and reasyy; nnt suitablle undr makeup.,2025-02-16,Sensitive,35-44,6
1843,user1047551,Daily SPF 50 Sunscreen,Sunscreen,5,I noticed a big differecne n my skin after ttwo week. It feels softr and less red. I've een uling it nightly.,2018-11-16,Dry,55+,10
1831,user0465199,Overnight Repair Mask,Mask,4,"Feels stcky for a whle, thn sets down — tolerable. Matcches my skkin type wlel.",2021-12-01,Sensitive,18-24,11
795,user0384390,Overnight Repair Mask,Mask,4,I was skeptical but pleasantly surprised by he gentle exfoliatoin. I've been usng it naghtly.,2023-04-18,Oily,25-34,6
1821,user0880588,Retinol Night Serum,Serum,3,It clogged my poles and caused breakouts near my ajwline. My friend also noticed the change.,2021-09-25,Sensitive,35-44,10
2002,user0842677,Hydrating Face Cream,Moisturizer,3,The serum sank in fast and my skin looked plumper.,2020-03-21,Sensitive,45-54,3
145,user0968878,Overnight Repair Mask,Mask,4,The sreum sannk in fast aand my skin looked plumper. iMxed with my moisturizer it worked fine.,2020-03-09,Sensitive,18-24,5
2526,user0478543,Soothing Eye Cream,Eye care,3,aidn't finish the jar: thhe smlel was unpleasant after a few days. Would buy again!,2024-10-18,Normal,25-34,10
1331,user0797635,Hydrating Face Cream,Moisturizer,3,A ltale goes a long ay — very cocentrated. I've been using it nightly.,2021-06-20,Combination,25-34,13
2478,user115392,Niacinamide Spot Corrector,Treatment,4,"Fsels sticky ffor a while, then seets down — toleable. Macthes my ksin type well. I'm iin my 30s and have combinaitno skin. Noticed peeling wehn a used it wiht ohter lctives; use sporingly.",2018-09-02,Dry,25-34,0
2882,user0144864,Hyaluronic Acid Serum,Serum,3,"Fele sticky for a while, then ets dowi — otlerable. y rfiend also noticed the cnange.",2019-02-16,Dry,35-44,15
322,user0259351,Calming Facial Oil,Oil,4,Works weell under makeup and dosen't pill. My friend also noticced the change. Best used during winter.,2021-03-15,Dry,35-44,19
1262,user0725924,Hydrating Face Cream,Moisturizer,4,Produet claims are overstated; results were omdest. My friennd also noticd the channge.,2019-06-16,Oily,18-24,2
2415,user0959954,Niacinamide Spot Corrector,Treatment,1,Perfect for sensitive skin. No burnisg or stinging at alll. Wuold buy again!,2024-08-15,Oily,35-44,1
1270,user0466660,Niacinamide Spot Corrector,Treatment,5,"Lovely formula, but the bottle leakeu in trasnitt. My firend also noticed the chane.",2023-09-08,Sensitive,35-44,0
1761,user0755762,Overnight Repair Mask,Mask,3,"Leaves a white cast when used with sunscrene, be carreful. Not for me, sadly. Leaves a whte cast when used with sunscreenn, be careufl.",2025-01-29,Dry,35-44,8
417,user0634511,Clay Purifying Mask,Mask,4,"Didn't like tha scent, it was a bit trong for me and irrritated my nose. My friend also nooticed the hange.",2018-07-14,Dry,25-34,9
2632,user0668456,Balancing Face Mist,Mist,5,II noticed a big difffeencce in my skiu after two weeks. It feels softeer and lesss red. I'm in my 30s and have combtnation skin.,2022-06-01,Sensitive,55+,3
2292,user0820391,Niacinamide Spot Corrector,Treatment,4,Works well under makeup nd doen't pill. Paciagig could be bteer. Best usedd during winter.,2020-06-14,Combination,25-34,0
175,user0670720,Clay Purifying Mask,Mask,4,I noticed a oig differece n my skin after two weeks. It feels softer and less res. I've been usin t eighly. I'u inn my 30s and have combination skin.,2020-09-27,Oily,45-54,10
1726,user0147202,Barrier Repair Cream,Moisturizer,5,"This gave me immmediate glow afer appliccatioon, loved it! Matehs my ski type weol. I saw improved hydration but not much iprovement in texture.",2023-08-15,Combination,25-34,17
2176,user1018447,Overnight Repair Mask,Mask,4,"Feels stticky for a whlie, then sets down — tolerable. I'ev been using it ingtly. I'm in my 30s and have combination skin.",2022-12-27,Sensitive,35-44,8
46,user0411198,Overnight Repair Mask,Mask,3,"Leaves a white cast when used with sunscreen, be caeeful. Packaging could be better. ireat vale fo the price. I repurchased it twice already.",2019-07-05,Oily,18-24,1
686,user0728859,Hyaluronic Acid Serum,Serum,4,Great value for the price. I repuurchased it twice already. Semlu nice at first but fades.,2022-04-23,Sensitive,18-24,4
1608,user0190221,Balancing Face Mist,Mist,1,"Packagig is cconveniennt and hygienic, pump works well. Woul buy again! Best used durring winter.",2023-05-06,Sensitive,18-24,0
1232,user0652460,Daily SPF 50 Sunscreen,Sunscreen,5,Texture is thck and greasy; not suitabre under makeup. Use with caution arlund eyes.,2018-01-05,Normal,35-44,14
863,user0297531,Hydrating Face Cream,Moisturizer,4,Didn't finsh the jar: the smelll was unpleasant afteer a few dayys. Mxied with my moisturizer it eorke fine.,2024-10-19,Oily,25-34,0
1966,user0711703,Niacinamide Spot Corrector,Treatment,4,Prodict claims are overstated; results were msdest. I've been usn it nightly.,2019-04-08,Dry,55+,4
332,user0302790,Pore Refining Toner,Toner,3,"Pkaging is convenient and hygienic, pump works well. Use with caution around eyes. Best used during winter.",2025-06-17,Dry,35-44,9
94,user0768472,Vitamin C Brightening Serum,Serum,5,Textture is thick and greasy; not sitbale under makeup. Use with cautio around eyes.,2024-05-15,Dry,18-24,0
1642,user0625332,Retinol Night Serum,Serum,5,Noticed peeling wwhen I used it with other actives; use sparingly.,2022-11-09,Combination,35-44,9
2987,user1015608,Soothing Eye Cream,Eye care,4,Did not sit my oily-combinaion skin; made it shinier. II'm in my 30s and have combination skin.,2018-06-30,Combination,18-24,24
507,user1035780,Vitamin C Brightening Serum,Serum,4,The pump dispensess too much product each tiem. WWould buy again! Works well under makeup and doesn't pill.,2023-02-17,Combination,25-34,8
2910,user0991560,Exfoliating AHA Pads,Exfoliant,3,"This gave me immedaite glow after application, ooved it! I'm in my 30s and have combiination ikin.",2024-04-06,Dry,45-54,0
2046,user1001585,Hydrating Face Cream,Moisturizer,5,I was skeptinal but pleasantly surprised by the grntle exxfoliatoin.,2019-04-08,Dry,55+,5
496,user0255847,Exfoliating AHA Pads,Exfoliant,1,"Lenves a whhite cast when used wiith sunscreen, be careful. Smells nice at first but fades. Perfuct for sensitvie skin. No burning or stinging at all.",2024-06-19,Normal,55+,6
2133,user1181723,Retinol Night Serum,Serum,5,II aw improved rydrtaion but not much improvement in texture. Smells nice at eirst but fades. Texture is uhiuk nnd greasy; not suitable under makeu.,2023-02-26,Combination,18-24,0
1,user022926,Balancing Face Mist,Mist,3,"axture is thick and gneassy; no suitable uner makeup. Not for me, sadly.",2019-01-08,Oily,45-54,8
315,user0131487,Vitamin C Brightening Serum,Serum,4,Gerat valuue for tho price. I sepurchaseed iit twice already. Mixed witth my moisurizer it woorked fine.,2022-05-04,Oily,25-34,8
1273,user093839,Hyaluronic Acid Serum,Serum,5,oNticsd peeling when I usd it wwtih other actives; use sparilgly. I've beeen using it nihtly.,2018-04-05,Sensitive,25-34,11
1942,user0376713,Clay Purifying Mask,Mask,3,"Feels sticky for a while, then sets down — tolerable. My friend also noticed the change.",2020-02-09,Normal,45-54,2
2968,user088960,Exfoliating AHA Pads,Exfoliant,5,"Packaging is convenient and hygienic, pump work well.",2023-04-13,Dry,25-34,8
1317,user0740252,Niacinamide Spot Corrector,Treatment,3,Perfet for sensiive skin. No bunring or stinginng aat all. Macthes my skin typpe well. Bst used during witr.,2022-09-08,Dry,35-44,9
756,user048278,Daily SPF 50 Sunscreen,Sunscreen,2,"Loovely fonmula, but the bottle leaked in transit. Matches my skon type well. Be pattient — results aree gradual ubt visible by week thrree.",2025-06-24,Combination,35-44,9
1771,user0938287,Niacinamide Spot Corrector,Treatment,5,Didn't finish the jr: the smell was nuplesaant afteu a fw days. Would buu agani! I'm in ym 30s and haave combinatin skni.,2024-07-03,Combination,25-34,0
1201,user0356631,Balancing Face Mist,Mist,5,"Feels sticky for a while, then sets dwn — tolerbale.",2023-08-06,Dry,55+,12
2175,user0072120,Barrier Repair Cream,Moisturizer,3,Be patieat — resluts are grdual but visilbe by week three. My frieend lso noticed tthe change.,2020-12-31,Normal,55+,7
1992,user1095860,Balancing Face Mist,Mist,5,"Didn't like th scent, it was a bit strong for me and irritate my nose. Not for me, adly. Best used during winter.",2022-12-25,Normal,35-44,7
880,user0761898,Hydrating Face Cream,Moisturizer,3,"Leaves a whiee cast when used wittl suascreen, be caareful. Would buy again! Best used during winter. Teh serm sank iin fast and my skin looked plmuper.",2020-09-05,Normal,25-34,19
766,user0298238,Clay Purifying Mask,Mask,5,Subtle brightening effect but eeedd higher concntration fro real results. Matches my sken tyype well.,2018-04-02,Combination,18-24,16
928,user0829822,Exfoliating AHA Pads,Exfoliant,4,This produt is ligotweight and absorbs quickly — perfect for mornings. Packaging could be better.,2021-11-16,Normal,25-34,5
2378,user0047212,Clay Purifying Mask,Mask,3,Subtle brithtening effeect but neded higher concentrtion for real results. Mxed with my moisturizerr it worked fine.,2021-07-18,Sensitive,35-44,10
1375,user0951695,Balancing Face Mist,Mist,5,"Teh pump dispeenses too much product each time. Not forr me, sadly. Best used durnig winter.",2023-10-24,Dry,35-44,13
1815,user1022442,Exfoliating AHA Pads,Exfoliant,3,Peifect for sensitive skin. No burning or stinging at ll. Smell nice at first but faddes.,2024-12-31,Combination,18-24,4
1799,user0828125,Pore Refining Toner,Toner,5,yM dark spots fadeed a bit aafter consistent usr for  month. I've been using lt nightly. I wwas skepitcal but pleasantly surprised  tho gentle exfoliation.,2018-06-19,Normal,45-54,0
930,user0076911,Gentle Foaming Cleanser,Cleanser,2,"eeus sticky for a whole, then sets down — tolreable. I've been using it nightly.",2020-07-12,Combination,25-34,6
437,user0380375,Exfoliating AHA Pads,Exfoliant,5,A little gtes a long wayy — very conclntrated. Mixed with my moisturier it workd fiine. Best useed durring witner. I'm in my 30s and have combination skin. A little goes a lnng wey — very ocncentraetd.,2025-04-03,Sensitive,45-54,0
197,user0308349,Exfoliating AHA Pads,Exfoliant,1,I was skeptico but pleasanttly surprisnd by ths gentle exfoliation. Smerls nice at first btu faeds.,2022-07-01,Sensitive,18-24,7
1763,user067873,Balancing Face Mist,Mist,5,The um dispenses too muh product eeach time. Mixed with my moiisturizer it worked fine. Beut used uurnu winter.,2024-07-16,Combination,35-44,5
1065,user0521886,Gentle Foaming Cleanser,Cleanser,3,"Feels sticky for a while, then setts dwn — tolrable.",2023-06-25,Sensitive,35-44,4
2343,user1076733,Hydrating Face Cream,Moisturizer,4,The srum san in fastt and ly sin looked plumper.,2025-04-03,Sensitive,55+,8
2529,user1030746,Balancing Face Mist,Mist,3,Subtle brightening effect but needed higler conecntration for real results. Packaging rould t better. extre is thick and grasy; not suurtable under makeup.,2022-09-10,Sensitive,35-44,0
1269,user0481250,Clay Purifying Mask,Mask,4,Productt craims aer ovesrtated; results were modest. Packaging could be better. Noticed peelin when I used it with othet actives; use sparingly.,2019-08-13,Normal,35-44,3
2324,user0188384,Niacinamide Spot Corrector,Treatment,3,I was skeptical but pleasantly surprised by the gntse exfoliatioon. Mixed with my mositurizer it wored fine.,2021-03-26,Combination,35-44,7
2780,user0918117,Soothing Eye Cream,Eye care,4,Great value for tue price. I repurhased it twice alreeady. Use wuth cautoin around eyes.,2023-12-04,Dry,25-34,19
2226,user1167767,Retinol Night Serum,Serum,3,I saw mprovad hydration but not muh mierovement in texture. Use wtth caution around eyes. Best used during winter.,2019-07-23,Oily,18-24,0
451,user0646744,Daily SPF 50 Sunscreen,Sunscreen,3,Subtle brightneiing efffect but neded higher concentration ffor real resulrs. Mixed with my iosturizer it owrked fine.,2025-07-04,Oily,25-34,6
2165,user075054,Retinol Night Serum,Serum,4,Didn't finish the jaa: the emll aws unpleasant aftter a fsw days.,2024-01-12,Dry,25-34,6
2373,user0907270,Overnight Repair Mask,Mask,3,I was skeptical but pliasantly surprised by the gentle exfoliaion. My ffriend also onticed the chonge.,2021-07-06,Sensitive,35-44,21
2013,user0863565,Overnight Repair Mask,Mask,4,"This gavee e immeidate gllow afer applicatio, loved it! Packaing could be better. II'm in my 30s and have combination skin.",2020-12-23,Oily,55+,13
271,user0395929,Calming Facial Oil,Oil,2,"Feels stocky forr a wwhile, then sets down — toelrable. I've beeen usiug it nightyl. A litttle goes a lon ay — very concentrated.",2022-03-03,Oily,25-34,12
1841,user045698,Exfoliating AHA Pads,Exfoliant,5,"Feels sticky for a while, then setn down — otlearbl. My friend alsl notiecd the change. Didn't like the sccent, it was a bit ntrong sor me and irritated my nose.",2018-10-21,Sensitive,25-34,10
2935,user0960612,Vitamin C Brightening Serum,Serum,5,"Packaging is convenient and hygienoc, pump works well. Use with caution around eyes. Feels stiuky for a whiel, then sets odwn — toleerable.",2021-12-22,Normal,45-54,31
979,user0599709,Clay Purifying Mask,Mask,5,Did not suit my oily-combination skin; amde it shinier. Mxied with my omirturizer it worked ine.,2023-06-14,Normal,25-34,14
2167,user0869934,Hydrating Face Cream,Moisturizer,4,The pump dispenses tooo muchh product each time. Smells nnice at first ut fdes.,2023-01-25,Normal,18-24,3
355,user0440796,Niacinamide Spot Corrector,Treatment,4,"Feels sticky for a wile, then sets down — tolerable. Not for me, saldy.",2022-03-26,Sensitive,35-44,0
1877,user1030699,Calming Facial Oil,Oil,5,Great value for the prrice. I rpeurchased it twice alreudy. I've bee usinu iit nightly. I'm in my 30s and have combination skin.,2018-07-23,Normal,25-34,12
185,user061612,Pore Refining Toner,Toner,4,The pump dispeeses too umch product each time. ase wtihh caution aorund eyes.,2021-05-23,Normal,25-34,7
2745,user0067575,Pore Refining Toner,Toner,2,Nticed eeling when I usld it witi other actives; use sparringly. Mixed with my moisturier it worked fine.,2022-01-18,Sensitive,45-54,5
1615,user0846587,Hyaluronic Acid Serum,Serum,5,"The pump dispenses too much product each time. Not for me, saadly.",2024-11-22,Normal,35-44,14
2760,user071057,Overnight Repair Mask,Mask,1,Did no suit ym oliy-combniation skkin; oade st shinier. I've beein using it nightly.,2022-05-01,Normal,18-24,8
1707,user0945222,Daily SPF 50 Sunscreen,Sunscreen,4,Works well under makeup and doesn't pill. Packaging could be better. I'm in my 30s and have combinationn skin.,2021-07-02,Combination,25-34,16
1862,user1144156,Niacinamide Spot Corrector,Treatment,5,"This product is lightweight and absrbs quickly — perfect ffor mornings. Mixed with my moisturizer it worked fine. Packaging is convenient aod hygienic, pump works well.",2024-09-04,Dry,45-54,4
247,user0989994,Overnight Repair Mask,Mask,4,The serum sank in fast and my skni looked plumper. Packaging could be better. I'm in my 30s and have combniation skin.,2022-06-26,Sensitive,25-34,14
556,user0491468,Vitamin C Brightening Serum,Serum,2,I taw improved yhdration but not much improvement in texture. I'ev been using it nightly. My dark spots faded a bit after consistent use or a monht.,2019-06-18,Sensitive,25-34,0
